Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1983,,,15.2,,,28.7,,,39.4,,,45.2,,,42.6,,,20.1
1984,,,11.7,,,21.8,,,28.0,,,32.3,,,34.5,,,29.4
1985,,,24.8,,,26.0,,,33.0,,,39.2,,,37.5,,,17.1
1986,,,11.4,,,24.0,,,32.0,,,34.2,,,35.0,,,19.8
1987,,,14.9,,,22.3,,,30.3,,,37.2,,,36.0,,,14.3
1988,,,18.5,,,22.6,,,26.9,,,35.0,,,32.3,,,20.1
1989,,,13.5,,,23.3,,,26.6,,,34.8,,,35.3,,,23.5
1990,,,9.8,,,24.6,,,40.5,,,45.7,,,38.6,,,28.0
1991,,,28.4,,,40.6,,,51.7,,,59.0,,,63.5,,,45.2
1992,,,21.7,,,34.8,,,39.5,,,40.5,,,35.0,,,5.5
1993,,,15.5,,,20.7,,,21.8,,,26.0,,,25.6,,,0.0
1994,,,12.7,,,19.8,,,29.0,,,33.0,,,25.2,,,0.0
1995,,,32.2,,,38.7,,,48.6,,,53.0,,,52.0,,,25.8
1996,,,22.1,,,36.6,,,51.3,,,51.4,,,50.0,,,36.8
1997,,,29.5,,,43.6,,,46.6,,,56.4,,,54.7,,,41.5
1998,,,13.7,,,24.9,,,28.9,,,32.9,,,29.0,,,14.1
1999,,,27.9,,,40.1,,,53.2,,,61.7,,,58.7,,,43.9
2000,,,15.6,,,25.0,,,31.2,,,38.5,,,33.3,,,18.0
2001,,,8.4,,,13.4,,,18.0,,,23.1,,,21.8,,,1.2
2002,,,19.9,,,32.0,,,41.4,,,49.0,,,49.1,,,35.5
2003,,44,10.5,,68,23.3,,74,25.9,,,35.9,,,34.2,,,19.6
2004,,,16.7,,84,23.7,,77,26.0,,79,30.4,,51,23.6,,13,5.0
2005,,33,9.0,,34,10.6,,36,11.1,,59,15.6,,31,13.0,,0,0.0
2006,,47,11.3,,112,27.8,,111,36.6,,97,41.3,,75,37.7,,36,20.4
2007,,78,23.3,,91,31.4,,102,35.8,,91,38.8,,72,33.9,,32,13.9
2008,,78,16.4,,98,24.8,,95,31.9,,103,34.3,,85,32.6,,41,17.1
2009,,51,9.1,,65,19.6,,63,21.6,,78,27.6,,64,29.5,,24,12.5
2010,,46,14.8,,59,22.4,,60,24.6,,65,28.2,,56,27.4,,28,18.5
2011,,51,14.3,,62,22.5,,95,29.5,,106,44.0,,102,48.7,,69,37.4
2012,,69,19.1,,95,33.3,,112,38.7,,130,50.3,,102,51.5,,62,35.1
2013,,59,17.8,,73,25.2,,84,30.1,,73,33.5,,66,32.2,,24,14.4
2014,,27,8.0,,48,15.2,,108,29.2,,105,42.5,,90,45.2,,44,24.6
2015,,49,15.2,,62,23.2,,66,25.1,,60,26.7,,51,23.8,,1,0.3
2016,,58,18.0,,92,27.3,,95,33.7,,103,42.8,,71,35.1,,26,12.9
2017,,56,11.5,,52,15.0,,77,25.3,,93,36.4,,82,37.5,,35,17.7
2018,,67,18.2,,97,30.6,,103,38.0,,98,43.2,,88,45.1,,29,17.5
2019,,51,13.3,,60,19.2,,64,22.2,,55,24.1,,45,21.7,,0,0.1
2020,,44,9.7,,78,22.8,,95,31.1,,87,36.1,,68,34.0,,27,14.5
2021,,60,16.3,,,27.0,,108,37.6,,94,40.4,,71,36.8,,34,19.3
2022,,61,16.1,,75,25.1,,104,32.2,,82,33.5,,86,37.8,,59,29.4
2023,,56,14.2,,56,18.4,,70,24.4,,73,29.1,,59,28.0,,0,0.0